	nodes_synt	edges_synt	radius_synt	diameter_synt	average_clustering_synt	transitivity_synt	density_synt	degree_pearson_correlation_coefficien_syntt	nodes_flat	edges_flat	radius_flat	diameter_flat	average_clustering_flat	transitivity_flat	density_flat	degree_pearson_correlation_coefficient_flat	class
0	11	21	2	4	0.49119047619047623	0.4520547945205479	0.4642857142857143	0.0	11	25	3	5	0.6583333333333334	0.6237623762376238	0.6071428571428571	0.015118790496760274	news
1	12	23	2	4	0.4425925925925926	0.3793103448275862	0.42857142857142855	0.0	12	29	2	4	0.6885714285714286	0.5	0.5357142857142857	0.0	news
2	13	21	2	4	0.5104761904761905	0.4090909090909091	0.4666666666666667	0.0	13	29	3	6	0.6738095238095239	0.6842105263157895	0.6444444444444445	0.04977375565610858	news
3	14	32	2	3	0.3958333333333333	0.46153846153846156	0.5333333333333333	0.0	14	37	2	4	0.6877396413110698	0.5526315789473685	0.5	0.0	news
4	11	16	2	4	0.3306878306878307	0.28125	0.39285714285714285	0.0	11	22	3	5	0.41	0.375	0.5	0.0	news
5	11	17	3	5	0.6	0.46875	0.5	0.015384615384615347	11	20	3	5	0.6682539682539682	0.5172413793103449	0.6190476190476191	0.1639344262295082	news
6	11	18	2	4	0.4841269841269842	0.4	0.4642857142857143	0.0	11	24	3	4	0.7119047619047619	0.7	0.7142857142857143	0.05546545572494327	news
7	13	26	2	4	0.5114774114774114	0.4166666666666667	0.4166666666666667	0.0	13	32	2	4	0.7251082251082251	0.6666666666666666	0.5277777777777778	0.0	news
8	11	15	2	4	0.38888888888888884	0.46153846153846156	0.6	0.0	11	19	3	5	0.5833333333333334	0.5294117647058824	0.6666666666666666	0.09999999999999998	news
9	9	18	2	4	0.588888888888889	0.5192307692307693	0.6	0.0	9	21	3	6	0.5222222222222221	0.5538461538461539	0.6666666666666666	0.0	news
10	13	28	2	4	0.5365740740740741	0.5238095238095238	0.4666666666666667	0.0	13	34	2	4	0.6378968253968254	0.6506024096385542	0.5555555555555556	0.0	news
11	13	19	3	4	0.4	0.34615384615384615	0.42857142857142855	0.0	13	26	3	6	0.6708994708994709	0.6	0.5357142857142857	0.0	news
12	11	18	2	4	0.7952380952380952	0.6585365853658537	0.7142857142857143	0.0	11	25	3	5	0.6848484848484849	0.6363636363636364	0.6190476190476191	0.08931698774080561	news
13	12	21	2	4	0.37380952380952387	0.33962264150943394	0.32727272727272727	0.0	12	27	2	4	0.6268398268398269	0.47560975609756095	0.43636363636363634	0.0	news
14	14	28	2	4	0.5764957264957264	0.42857142857142855	0.358974358974359	0.0	14	34	2	4	0.5844932844932845	0.5	0.4358974358974359	0.014084507042253537	news
15	15	31	2	4	0.5291666666666667	0.4864864864864865	0.5	0.0	15	42	2	4	0.6874999999999999	0.6206896551724138	0.6071428571428571	0.0	news
16	12	23	2	4	0.5557539682539683	0.39285714285714285	0.3888888888888889	0.0	12	33	3	5	0.6370370370370371	0.6073619631901841	0.5	0.0	news
17	11	19	2	3	0.49166666666666664	0.4528301886792453	0.5238095238095238	0.0	11	23	2	4	0.6647619047619048	0.5714285714285714	0.5357142857142857	0.0	news
18	13	25	2	4	0.5341880341880342	0.33707865168539325	0.3333333333333333	0.0	13	32	3	5	0.6683333333333333	0.5	0.4444444444444444	0.2214700193423598	news
19	13	20	3	4	0.4372294372294372	0.39344262295081966	0.34545454545454546	0.0	13	25	4	7	0.6338383838383838	0.5161290322580645	0.43636363636363634	0.1755057408419901	news
20	13	25	2	4	0.38956043956043956	0.46153846153846156	0.4666666666666667	0.0	13	30	2	4	0.7195360195360195	0.456	0.5357142857142857	0.0	news
21	9	12	2	4	0.0	0.0	0.42857142857142855	0.0	9	19	2	4	0.7015873015873015	0.6	0.5277777777777778	0.0	news
22	11	18	2	3	0.37238095238095237	0.3076923076923077	0.5	0.0	11	24	3	5	0.6991341991341992	0.5487804878048781	0.6	0.0420796100731113	news
23	12	20	2	4	0.6166666666666667	0.4444444444444444	0.4666666666666667	0.0	12	25	2	4	0.5291666666666666	0.5	0.5	0.1919191919191919	news
24	14	25	2	3	0.6630952380952381	0.39473684210526316	0.5	0.0	14	36	2	4	0.6375	0.6346153846153846	0.5714285714285714	0.0	news
25	10	20	2	3	0.5971428571428572	0.43902439024390244	0.5333333333333333	0.0	10	22	2	3	0.6761904761904762	0.6521739130434783	0.5238095238095238	0.0	news
26	13	22	2	4	0.36190476190476195	0.3333333333333333	0.4666666666666667	0.0	13	28	2	4	0.5900000000000001	0.43636363636363634	0.5333333333333333	0.0	news
27	12	22	2	4	0.5316017316017316	0.52	0.5	0.0	12	27	2	4	0.651984126984127	0.5454545454545454	0.6	0.0	news
28	11	19	2	4	0.47500000000000003	0.4	0.5	0.0	11	21	2	4	0.6904761904761906	0.631578947368421	0.6190476190476191	0.27109974424552424	news
29	14	32	2	4	0.5573593073593073	0.5625	0.4444444444444444	0.0	14	40	3	6	0.6666666666666666	0.5727272727272728	0.5454545454545454	0.0	news
30	9	13	2	4	0.36666666666666664	0.2608695652173913	0.5	0.0	9	16	2	3	0.7113095238095238	0.5454545454545454	0.7	0.0	news
31	13	23	2	4	0.4247863247863248	0.2727272727272727	0.4	0.0	13	28	3	6	0.5845238095238094	0.36	0.4	0.23076923076923084	news
32	13	23	2	4	0.5277777777777778	0.47368421052631576	0.6	0.0	13	28	2	4	0.5700000000000001	0.5714285714285714	0.7333333333333333	0.12431776834445114	news
33	11	19	2	4	0.48888888888888893	0.4864864864864865	0.4166666666666667	0.0	11	21	2	4	0.5083333333333333	0.4864864864864865	0.4666666666666667	0.0	news
34	13	24	2	4	0.43333333333333335	0.46153846153846156	0.5333333333333333	0.0	13	28	3	5	0.5277777777777778	0.5625	0.6	0.2916666666666667	news
35	11	19	2	4	0.49259259259259264	0.42857142857142855	0.4166666666666667	0.0	11	24	3	6	0.5633333333333332	0.5625	0.6666666666666666	0.03760282021151585	news
36	15	30	2	4	0.5666666666666667	0.5714285714285714	0.5714285714285714	0.0	15	44	3	6	0.6990476190476191	0.56	0.5	0.038699690402476776	news
37	11	16	2	3	0.37916666666666665	0.34615384615384615	0.42857142857142855	0.0	11	21	2	4	0.49166666666666664	0.5070422535211268	0.42857142857142855	0.1374225892067237	news
38	13	23	2	4	0.5589947089947089	0.39285714285714285	0.4	0.0	13	31	3	5	0.5810846560846562	0.5052631578947369	0.5238095238095238	0.3195319531953195	news
39	9	21	2	3	0.5592592592592592	0.5892857142857143	0.5833333333333334	0.0	9	23	2	4	0.6875661375661375	0.6486486486486487	0.6388888888888888	0.01422475106685634	news
40	12	16	2	4	0.3009523809523809	0.375	0.35555555555555557	0.0	12	24	3	5	0.6805555555555557	0.5342465753424658	0.5333333333333333	0.244313395113732	news
41	14	22	2	4	0.5614285714285714	0.35294117647058826	0.47619047619047616	0.0	14	30	3	4	0.7402597402597403	0.54	0.47619047619047616	0.14177931468091795	news
42	12	16	2	3	0.3	0.25	0.42857142857142855	0.0	12	22	2	4	0.5185185185185185	0.46153846153846156	0.4444444444444444	0.0	news
43	14	32	2	4	0.48611111111111116	0.4897959183673469	0.39285714285714285	0.0	14	39	3	6	0.7081529581529581	0.5728643216080402	0.5238095238095238	0.1639344262295082	news
44	13	21	2	4	0.47316017316017317	0.4090909090909091	0.47619047619047616	0.0	13	27	2	4	0.7195238095238096	0.6363636363636364	0.5714285714285714	0.0	news
45	12	17	2	4	0.462962962962963	0.5882352941176471	0.4444444444444444	0.0	12	21	3	5	0.6428571428571429	0.631578947368421	0.5714285714285714	0.17948717948717952	news
46	13	21	3	5	0.46666666666666656	0.4838709677419355	0.7	0.0	13	26	3	5	0.6385714285714286	0.5853658536585366	0.5	0.002948021722265289	news
47	10	19	2	4	0.5041666666666667	0.6153846153846154	0.5714285714285714	0.0	10	18	3	5	0.7160714285714286	0.6885245901639344	0.6428571428571429	0.15254237288135586	news
48	12	25	2	4	0.5398809523809524	0.4235294117647059	0.4666666666666667	0.0	12	28	2	4	0.6777116402116402	0.6506024096385542	0.6	0.1385390428211587	news
49	14	23	2	3	0.505982905982906	0.4	0.35555555555555557	0.0	14	31	2	4	0.6755291005291005	0.528169014084507	0.5238095238095238	0.0	news
50	13	19	2	3	0.3958333333333333	0.36	0.47619047619047616	0.0	13	22	2	4	0.5809523809523809	0.5294117647058824	0.5238095238095238	0.0	news
51	12	20	2	4	0.4675324675324676	0.375	0.47619047619047616	0.0	12	25	3	5	0.6458333333333334	0.6206896551724138	0.6071428571428571	0.013778100072516297	news
52	14	28	2	4	0.48134920634920636	0.37142857142857144	0.42857142857142855	0.0	14	43	2	4	0.617989417989418	0.5633802816901409	0.5714285714285714	0.0	news
53	10	15	2	3	0.6011904761904762	0.3333333333333333	0.4166666666666667	0.0	10	18	2	4	0.6619047619047619	0.55	0.5357142857142857	0.0	news
54	14	25	2	4	0.530952380952381	0.4235294117647059	0.4222222222222222	0.0	14	32	3	5	0.7107142857142857	0.46875	0.4888888888888889	0.032258064516129045	news
55	12	20	2	4	0.5347222222222222	0.42857142857142855	0.5714285714285714	0.0	12	19	3	5	0.6363636363636364	0.6	0.6190476190476191	0.05405405405405409	news
56	13	23	2	4	0.5166666666666666	0.3333333333333333	0.42857142857142855	0.0	13	27	3	6	0.6187423687423687	0.4523809523809524	0.4642857142857143	0.0	news
